Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12797762864,405148313,7/6/2021 8:28,7/6/2021 8:34,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a week,Not at all,Not at all,At least once a day,Basic stuff,Expert,Not at all,Intermediate,Not at all,Intermediate,Not at all,Basic stuff,Advanced,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,,,,A data visualization tool like Tableau,,,SQL,,Insufficient/inadequate staff,,,,Not enough time,No perceived benefit,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,41-50 years old,United States,,Insurance company,,5-Jan,Between 15 and 20
12797727421,405148313,7/6/2021 8:14,7/6/2021 8:18,,,,,,Not at all,At least once a day,At least once a day,Not at all,About once a week,Less than once a month,Not at all,Not at all,At least once a day,Intermediate,Advanced,Advanced,Basic stuff,Advanced,Basic stuff,Basic stuff,Not at all,Advanced,Very much so,Somewhat,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Very much so,Unsure,Unsure,Very much so,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Very much so,Unsure,,,Excel,Google Sheets,,Python,,,,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,Tree-based methods like random forests,,,,FCAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
12797620645,405148313,7/6/2021 7:16,7/6/2021 7:29,,,,,,Not at all,At least once a day,About once a week,At least once a day,About once a week,Not at all,Not at all,Not at all,About once a week,Basic stuff,Expert,Intermediate,Advanced,Intermediate,Not at all,Not at all,Not at all,Intermediate,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,,,,,,Python,,,,,,,,,,Not enough time,,,,,Lack of IT support,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,"Time series analysis, including claim trend analysis",AI/deep learning,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,United States,,Insurance company,,25-Nov,Between 10 and 15
12796712964,405148313,7/5/2021 21:17,7/5/2021 21:21,,,,,,Not at all,About once a week,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,Somewhat,Somewhat,,Very much so,Very much so,,,,,,,,,,,,,,,,,,,,Word processing??  We do write reports don’t we,,,,,,,,,,,,,,,,No perceived benefit,,,,,,,No perceived benefit,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,61 or older,United States,,Consulting Firm,,5-Jan,More than 20
12796707385,405148313,7/5/2021 21:12,7/5/2021 21:17,,,,,,At least once a day,At least once a day,Less than once a month,At least once a day,About once a week,Less than once a month,Not at all,Not at all,At least once a day,Expert,Expert,Basic stuff,Advanced,Advanced,Basic stuff,Intermediate,Not at all,Expert,Very much so,,,Somewhat,,,Unsure,,,Very much so,,,Very much so,,,Somewhat,,,Unsure,,,Unsure,,,Very much so,,,,,,,SAS,Python,,,,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,,,,"Linear regression, including GLMs",,,,,,,,,,,,,FCAS,41-50 years old,United States,,Consulting Firm,,26-50,Between 5 and 10
12796647651,405148313,7/5/2021 20:29,7/5/2021 20:33,,,,,,Not at all,At least once a day,Not at all,About once a month,Not at all,Not at all,Not at all,Not at all,About once a month,Not at all,Advanced,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Unsure,,,Excel,,SAS,,,,,SQL,,,,,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,,Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,26-50,Between 5 and 10
12796299708,405148313,7/5/2021 17:02,7/5/2021 17:09,,,,,,Not at all,About once a month,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,Not at all,Not at all,Expert,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,"GitHub.  How to deal with big data, like using Domino or DataBricks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I do not use any analytical methods or tools regularly, but my team does.  The latest teams use open source code like R and Python.",FCAS,41-50 years old,United States,,Insurance company,,200+,Between 15 and 20
12796211129,405148313,7/5/2021 16:10,7/5/2021 16:12,,,,,,About once a month,At least once a day,Less than once a month,About once a week,Not at all,About once a week,Not at all,Not at all,About once a week,Basic stuff,Expert,Advanced,Advanced,Not at all,Basic stuff,Not at all,Not at all,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,Up to 30 years old,United States,,Insurance company,,51-200,Between 5 and 10
12796208438,405148313,7/5/2021 16:04,7/5/2021 16:10,,,,,,Not at all,About once a week,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Very much so,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCAS,61 or older,United States,,Retired,,,More than 20
12796194301,405148313,7/5/2021 16:00,7/5/2021 16:03,,,,,,About once a month,At least once a day,About once a month,Not at all,Not at all,Less than once a month,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very much so,,,Very much so,,,Somewhat,,,Somewhat,,,Somewhat,,,Very much so,,,Unsure,,,Unsure,,,Somewhat,,,,R,Excel,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,,,,,,,,,FCAS,Up to 30 years old,United States,,Insurance company,,51-200,Between 5 and 10
12796110899,405148313,7/5/2021 15:11,7/5/2021 15:16,,,,,,About once a week,At least once a day,Not at all,About once a week,About once a month,Less than once a month,Not at all,Less than once a month,About once a month,Basic stuff,Advanced,Intermediate,Intermediate,Basic stuff,Basic stuff,Not at all,Basic stuff,Basic stuff,Very much so,Very much so,Very much so,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Very much so,Not at all,Not at all,Unsure,Somewhat,Somewhat,Unsure,Not at all,Not at all,Unsure,Somewhat,Somewhat,Unsure,,R,,,,Python,,,,,,,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",Credibility,,,,,,,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,United States,,Insurance company,,200+,Between 5 and 10
12795981369,405148313,7/5/2021 13:48,7/5/2021 13:53,,,,,,Not at all,About once a week,Less than once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Intermediate,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very much so,Somewhat,Unsure,Very much so,Very much so,Somewhat,Very much so,Very much so,Somewhat,Somewhat,Not at all,Unsure,Very much so,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,,,,Google Sheets,,,,,,,,,,,,,,near from retirement,,,Lack of IT support,,Not enough time,No perceived benefit,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,Canada,,Consulting Firm,,25-Nov,More than 20
12795965149,405148313,7/5/2021 13:34,7/5/2021 13:43,,,,,,Not at all,At least once a day,About once a week,Not at all,At least once a day,About once a week,Not at all,About once a week,At least once a day,Basic stuff,Expert,Intermediate,Expert,Expert,Expert,Not at all,Expert,Expert,Very much so,Very much so,Unsure,Very much so,Very much so,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Somewhat,Very much so,Very much so,Very much so,Somewhat,Somewhat,Unsure,Not at all,Not at all,Unsure,Very much so,Somewhat,Unsure,Somewhat,Somewhat,Somewhat,"I consider myself a BI tools expert, and I don't understand your distinction between Tableau and PowerBI.  I also find your mentioning of select commercial products to be counter to the philosophy of the CAS.  I believe all specific actuarial software solutions should be included above.",R,,,,Python,,,,,,,,,,,,The CAS Continuing Ed policy that takes away time from learning about Data and Technology solutions.,,,Lack of IT support,,,,,,,,,,,,,,,,My focus these days is on Data and Technology more so than analytics,"See comments above.  I do think this survey is flawed and contains biases, specifically by the choices of commercial products listed at the expense of other products.  I am not sure what the intention of the survey is, but I fear you may get inaccurate information from this one.",FCAS,41-50 years old,United States,,Consulting Firm,,5-Jan,More than 20
12795956493,405148313,7/5/2021 13:31,7/5/2021 13:38,,,,,,At least once a day,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Not at all,Not at all,At least once a day,Intermediate,Expert,Basic stuff,Advanced,Not at all,Not at all,Not at all,Not at all,Advanced,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Not at all,Not at all,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,R,,,,,,,,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,Up to 30 years old,Canada,,Insurance company,,51-200,Between 5 and 10
12795944869,405148313,7/5/2021 13:28,7/5/2021 13:32,,,,,,Less than once a month,At least once a day,Not at all,Less than once a month,Less than once a month,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Advanced,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Very much so,,,Not at all,,,Not at all,,,Somewhat,,,Very much so,,,Unsure,,,Unsure,,,Unsure,,,Not at all,,,Emblem,R,,,,Python,,,,,,,,,,,No perceived benefit,,,,,,,,,"Linear regression, including GLMs",,,,,,,AI/deep learning,,Tree-based methods like random forests,,,,FCAS,Up to 30 years old,Canada,,Insurance company,,51-200,Between 5 and 10
12795807427,405148313,7/5/2021 12:13,7/5/2021 12:19,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Not at all,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,,,,A data visualization tool like Tableau,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,51-60 years old,Canada,,Insurance company,,51-200,More than 20
12795785327,405148313,7/5/2021 11:58,7/5/2021 12:08,,,,,,Less than once a month,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,Intermediate,Intermediate,Intermediate,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Somewhat,Somewhat,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,R,Excel,,,,,,,SQL,,Insufficient/inadequate staff,,,Financial cost,Not enough time,,,,,,,,,,,,Premium adjustment,Excess loss analysis,,,,,,,,,,None yet,Up to 30 years old,Canada,,Insurance company,,26-50,Between 5 and 10
12795782016,405148313,7/5/2021 12:02,7/5/2021 12:06,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a month,Not at all,Not at all,Less than once a month,Basic stuff,Expert,Intermediate,Intermediate,Not at all,Basic stuff,Not at all,Basic stuff,Intermediate,,Somewhat,,,Very much so,,,Unsure,,,Somewhat,,,Unsure,,,Not at all,,,Unsure,,,Not at all,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,No perceived benefit,,"Linear regression, including GLMs",,,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,Canada,,Insurance company,,25-Nov,Between 15 and 20
12795763281,405148313,7/5/2021 11:52,7/5/2021 11:57,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,Not at all,About once a month,About once a month,Basic stuff,Advanced,Not at all,Basic stuff,Not at all,Not at all,Not at all,Intermediate,Basic stuff,Very much so,,,Somewhat,,,Unsure,,,Somewhat,,,Very much so,,,Somewhat,,,Unsure,,,Somewhat,,,Very much so,,,Emblem,R,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,"Mid-career (old dog, new tricks)",,,,Financial cost,,No perceived benefit,,"Linear regression, including GLMs",Credibility,,,,,,,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,41-50 years old,Canada,,Insurance company,,5-Jan,More than 20
12795739934,405148313,7/5/2021 10:58,7/5/2021 11:47,,,,,,Less than once a month,At least once a day,Not at all,About once a week,Not at all,Not at all,Not at all,About once a week,Less than once a month,Basic stuff,Expert,Not at all,Advanced,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Very much so,Very much so,Very much so,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,"Vendors modelling tools like Emblem, Radar, Earnix, DataRobot, H20, ",R,,,,,,,,SQL,Radar,,Lack of management support,,,Not enough time,,,,Lack of management support,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,Canada,,Insurance company,,26-50,Between 10 and 15
12795623032,405148313,7/5/2021 10:52,7/5/2021 10:56,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a week,Not at all,About once a month,Not at all,Basic stuff,Intermediate,Not at all,Advanced,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Very much so,Unsure,Unsure,,,,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,R,,,,,,,,,,,,,,Not enough time,,,,,Lack of IT support,,,,,"Linear regression, including GLMs",,,,,,,,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,41-50 years old,Canada,,Insurance company,,51-200,Between 15 and 20
12795612567,405148313,7/5/2021 10:44,7/5/2021 10:51,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Intermediate,Advanced,Advanced,Advanced,Not at all,Basic stuff,Not at all,Basic stuff,Basic stuff,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,ResQ and Emblem.,,,,,,,,,,,,,,,,,I manage managers who's teams who use these tools.  It would not be the best use of my team to invest in learning to use these tools but I hope that the individual contributor (actuaries) will be investing time in these.  The data scientists may invest time in learning tools like tableau and PowerBI,,,,,,,Complexity of systems fitting together,"Linear regression, including GLMs",Credibility,Premium adjustment,,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,,,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Answering on behalf of my team; I do not do any of this analysis myself,"I would have recommended that this survey start by differentiating between managers, directors and individual contributors.",FCAS,41-50 years old,United States,,Insurance company,,200+,More than 20
12795572365,405148313,7/5/2021 10:27,7/5/2021 10:33,,,,,,About once a month,At least once a day,Less than once a month,At least once a day,About once a month,Not at all,Not at all,Less than once a month,About once a month,Intermediate,Advanced,Intermediate,Basic stuff,Basic stuff,Not at all,Not at all,Basic stuff,Intermediate,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,VBA (unless you intended that within Excel)  ,R,,,SAS,Python,,,,SQL,,,,,,Not enough time,,Lack of organized learning opportunity,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",,,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,Na,FCAS,31-40 years old,United States,,Non-governmental insurance service organization,,51-200,Between 5 and 10
12795535154,405148313,7/5/2021 9:39,7/5/2021 10:14,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Less than once a month,Not at all,Less than once a month,Not at all,Intermediate,Expert,Advanced,Not at all,Basic stuff,Basic stuff,Basic stuff,Basic stuff,Basic stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,,,,Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",,,,,,,monte carlo simulation,,FCAS,Up to 30 years old,Canada,,Broker or (re)insurance intermediary,,10-Jun,Less than 5
12795455887,405148313,7/5/2021 9:35,7/5/2021 9:38,,,,,,Not at all,At least once a day,Not at all,About once a week,About once a month,Not at all,Not at all,Not at all,Less than once a month,Not at all,Advanced,Advanced,Advanced,Intermediate,Not at all,Not at all,Not at all,Basic stuff,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,,,,,,Python,,,,,,,,,,Not enough time,No perceived benefit,,,,Lack of IT support,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,,,,,,AI/deep learning,,Tree-based methods like random forests,,,,FCAS,31-40 years old,Canada,,Insurance company,,200+,Between 5 and 10
12795323184,405148313,7/5/2021 8:30,7/5/2021 8:35,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,Not at all,Basic stuff,Expert,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Very much so,Very much so,,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Very much so,Somewhat,Not at all,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Not at all,specific capital modeling software,R,,,,,,,,,,,,,,Not enough time,,Working in a leadership role not technical,Insufficient/inadequate staff,,Lack of IT support,Financial cost,,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,"CAS should develop courses for actuaries in leadership or management roles as well. In my role, I will not be the technical actuary crunching models in R/Python. However, I do have people in my team working with such tools/models. ",FCAS,31-40 years old,Canada,,Insurance company,,26-50,Between 10 and 15
12795319491,405148313,7/5/2021 8:29,7/5/2021 8:33,,,,,,At least once a day,At least once a day,Not at all,About once a month,About once a month,Not at all,Not at all,About once a week,At least once a day,Advanced,Advanced,Basic stuff,Intermediate,Basic stuff,Basic stuff,Not at all,Basic stuff,Advanced,Very much so,Very much so,Very much so,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,Financial cost,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,,,"Bayesian analysis, and/or MCMC",,,AI/deep learning,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,Canada,,Insurance company,,51-200,Between 5 and 10
12795231890,405148313,7/5/2021 7:44,7/5/2021 7:48,,,,,,About once a month,At least once a day,Not at all,About once a week,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Expert,Basic stuff,Basic stuff,Basic stuff,Not at all,Basic stuff,Not at all,Basic stuff,Very much so,Not at all,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Very much so,Not at all,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,,,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",,,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,Canada,,Consulting Firm,,25-Nov,Between 5 and 10
12794993118,405148313,7/5/2021 5:33,7/5/2021 5:38,,,,,,Not at all,About once a week,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,Not at all,Basic stuff,Intermediate,Not at all,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Not at all,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,-,R,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",,,,,,"Time series analysis, including claim trend analysis",,,,,,-,FCAS,41-50 years old,Europe,,Insurance company,,51-200,Between 15 and 20
12794593244,405148313,7/5/2021 1:43,7/5/2021 1:51,,,,,,Not at all,At least once a day,Not at all,At least once a day,Not at all,Not at all,Not at all,At least once a day,About once a month,Not at all,Expert,Not at all,Intermediate,Not at all,Not at all,Not at all,Advanced,Intermediate,Very much so,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Very much so,Somewhat,Very much so,Very much so,Very much so,"Predictive tools like Emblem, reserving tools like ResQ, Cat modeling tools like RMS, ",R,,Google Sheets,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,,,Financial cost,,,,,,,Financial cost,,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,Asia,,Insurance company,,5-Jan,Between 5 and 10
